;angle##angle##degrees;height##length##millimeters;width##length##millimeters;depth##length##millimeters;ispolnenie##number##feet;massa##number##feet;dlina_lotka##length##millimeters
36847K;45;50;500;0.8;1;1;221
36848K;45;50;600;0.8;1;1.2;221
36840KKKKKKHDZ;45;50;50;0.8;2;0.3;221
36842KKKKKKHDZ;45;50;100;0.8;2;0.4;221
36843KKKKKKHDZ;45;50;150;0.8;2;0.5;221
36844KKKKKKHDZ;45;50;200;0.8;2;0.6;221
36845KKKKKKHDZ;45;50;300;0.8;2;0.7;221
36846KKKKKKHDZ;45;50;400;0.8;2;0.8;221
36847KKKKKKHDZ;45;50;500;0.8;2;1;221
36848KKKKKKHDZ;45;50;600;0.8;2;1.2;221
36840KKKKKKINOX;45;50;50;0.8;3;0.3;221
36842KKKKKKINOX;45;50;100;0.8;3;0.4;221
36843KKKKKKINOX;45;50;150;0.8;3;0.5;221
36844KKKKKKINOX;45;50;200;0.8;3;0.6;221
36845KKKKKKINOX;45;50;300;0.8;3;0.7;221
36846KKKKKKINOX;45;50;400;0.8;3;0.8;221
36847KKKKKKINOX;45;50;500;0.8;3;1;221
36848KKKKKKINOX;45;50;600;0.8;3;1.2;221
36840KKKKKKZL;45;50;50;0.8;4;0.3;221
36842KKKKKKZL;45;50;100;0.8;4;0.4;221
36843KKKKKKZL;45;50;150;0.8;4;0.5;221
36844KKKKKKZL;45;50;200;0.8;4;0.6;221
36845KKKKKKZL;45;50;300;0.8;4;0.7;221
36846KKKKKKZL;45;50;400;0.8;4;0.8;221
36847KKKKKKZL;45;50;500;0.8;4;1;221
36848KKKKKKZL;45;50;600;0.8;4;1.2;221
36861K;45;80;80;0.8;1;0.45;221
36862K;45;80;100;0.8;1;0.5;221
36863K;45;80;150;0.8;1;0.55;221
36864K;45;80;200;0.8;1;0.62;221
36865K;45;80;300;0.8;1;0.75;221
36866K;45;80;400;0.8;1;0.9;221
36867K;45;80;500;0.8;1;1;221
36868K;45;80;600;0.8;1;1.1;221
36861KKKKKKHDZ;45;80;80;0.8;2;0.45;221
36862KKKKKKHDZ;45;80;100;0.8;2;0.5;221
36863KKKKKKHDZ;45;80;150;0.8;2;0.55;221
36864KKKKKKHDZ;45;80;200;0.8;2;0.62;221
36865KKKKKKHDZ;45;80;300;0.8;2;0.75;221
36866KKKKKKHDZ;45;80;400;0.8;2;0.9;221
36867KKKKKKHDZ;45;80;500;0.8;2;1;221
36868KKKKKKHDZ;45;80;600;0.8;2;1.1;221
36861KKKKKKINOX;45;80;80;0.8;3;0.45;221
36862KKKKKKINOX;45;80;100;0.8;3;0.5;221
36863KKKKKKINOX;45;80;150;0.8;3;0.55;221
36864KKKKKKINOX;45;80;200;0.8;3;0.62;221
36865KKKKKKINOX;45;80;300;0.8;3;0.75;221
36866KKKKKKINOX;45;80;400;0.8;3;0.9;221
36867KKKKKKINOX;45;80;500;0.8;3;1;221
36868KKKKKKINOX;45;80;600;0.8;3;1.1;221
36861KKKKKKZL;45;80;80;0.8;4;0.45;221
36862KKKKKKZL;45;80;100;0.8;4;0.5;221
36863KKKKKKZL;45;80;150;0.8;4;0.55;221
36864KKKKKKZL;45;80;200;0.8;4;0.62;221
36865KKKKKKZL;45;80;300;0.8;4;0.75;221
36866KKKKKKZL;45;80;400;0.8;4;0.9;221
36867KKKKKKZL;45;80;500;0.8;4;1;221
36868KKKKKKZL;45;80;600;0.8;4;1.1;221
36881K;45;100;100;0.8;1;0.53;221
36884K;45;100;150;0.8;1;0.58;221
36883K;45;100;200;0.8;1;0.65;221
36884K;45;100;300;0.8;1;0.8;221
36885K;45;100;400;0.8;1;0.95;221
36886K;45;100;500;0.8;1;1.07;221
36887K;45;100;600;0.8;1;1.19;221
