;height##length##millimeters;widthB##length##millimeters;depth##length##millimeters;ispolnenie##number##feet;massa##number##feet
Т-Ответвитель вверх TS 80/80 в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа, нержавеющий;80;80;1;3;1.14
Т-Ответвитель вверх TS 100/80 в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа, нержавеющий;80;100;1;3;1.28
Т-Ответвитель вверх TS 150/80 в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа, нержавеющий;80;150;1;3;1.55
Т-Ответвитель вверх TS 200/80 в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа, нержавеющий;80;200;1;3;1.77
Т-Ответвитель вверх TS 300/80 в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа, нержавеющий;80;300;1;3;2.53
Т-Ответвитель вверх TS 80/80 в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа, цинк-ламельный;80;80;1;4;1.14
Т-Ответвитель вверх TS 100/80 в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа, цинк-ламельный;80;100;1;4;1.28
Т-Ответвитель вверх TS 150/80 в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа, цинк-ламельный;80;150;1;4;1.55
Т-Ответвитель вверх TS 200/80 в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа, цинк-ламельный;80;200;1;4;1.77
Т-Ответвитель вверх TS 300/80 в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа, цинк-ламельный;80;300;1;4;2.53
