;height##length##millimeters;widthB##length##millimeters;depth##length##millimeters;ispolnenie##number##feet
Крышка-ответвитель TSS (плоск) 600x50 в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа, нержавеющая;50;600;1;3
Крышка-ответвитель TSS (плоск) 100x50 в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа, цинк-ламельная;50;100;1;4
Крышка-ответвитель TSS (плоск) 150x50 в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа, цинк-ламельная;50;150;1;4
Крышка-ответвитель TSS (плоск) 200x50 в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа, цинк-ламельная;50;200;1;4
Крышка-ответвитель TSS (плоск) 300x50 в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа, цинк-ламельная;50;300;1;4
Крышка-ответвитель TSS (плоск) 400x50 в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа, цинк-ламельная;50;400;1;4
Крышка-ответвитель TSS (плоск) 500x50 в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа, цинк-ламельная;50;500;1;4
Крышка-ответвитель TSS (плоск) 600x50 в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа, цинк-ламельная;50;600;1;4
Крышка-ответвитель TSS (плоск) 100 в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа;80;100;1;1
Крышка-ответвитель TSS (плоск) 150 в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа в комплекте с крепежными элементами и соединительными пластинами, необходимыми для монтажа;80;150;1;1
